"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","net.ljcomputing.core.domain","src/main/java/net/ljcomputing/core/domain/Domain.java","3","1","Comment is too large: Too many lines","Comments","CommentSize"
"2","net.ljcomputing.core.domain","src/main/java/net/ljcomputing/core/domain/Node.java","3","1","Comment is too large: Too many lines","Comments","CommentSize"
"3","net.ljcomputing.core.domain","src/main/java/net/ljcomputing/core/domain/Node.java","4","25","Avoid short class names like Node","Naming","ShortClassName"
"4","net.ljcomputing.core.domain","src/main/java/net/ljcomputing/core/domain/package-info.java","3","1","Comment is too large: Too many lines","Comments","CommentSize"
"5","net.ljcomputing.core.entity","src/main/java/net/ljcomputing/core/entity/AbstractDomain.java","3","1","Comment is too large: Too many lines","Comments","CommentSize"
"6","net.ljcomputing.core.entity","src/main/java/net/ljcomputing/core/entity/AbstractDomain.java","3","38","Each class should declare at least one constructor","Controversial","AtLeastOneConstructor"
"7","net.ljcomputing.core.entity","src/main/java/net/ljcomputing/core/entity/AbstractDomain.java","3","63","Parameter 'uuid' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"8","net.ljcomputing.core.entity","src/main/java/net/ljcomputing/core/entity/AbstractPersistedEntity.java","3","1","Comment is too large: Too many lines","Comments","CommentSize"
"9","net.ljcomputing.core.entity","src/main/java/net/ljcomputing/core/entity/AbstractPersistedEntity.java","3","34","Each class should declare at least one constructor","Controversial","AtLeastOneConstructor"
"10","net.ljcomputing.core.entity","src/main/java/net/ljcomputing/core/entity/AbstractPersistedEntity.java","3","54","publicMethodCommentRequirement Required","Comments","CommentRequired"
"11","net.ljcomputing.core.entity","src/main/java/net/ljcomputing/core/entity/AbstractPersistedEntity.java","3","64","Parameter 'createdTs' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"12","net.ljcomputing.core.entity","src/main/java/net/ljcomputing/core/entity/AbstractPersistedEntity.java","3","64","publicMethodCommentRequirement Required","Comments","CommentRequired"
"13","net.ljcomputing.core.entity","src/main/java/net/ljcomputing/core/entity/AbstractPersistedEntity.java","3","75","publicMethodCommentRequirement Required","Comments","CommentRequired"
"14","net.ljcomputing.core.entity","src/main/java/net/ljcomputing/core/entity/AbstractPersistedEntity.java","3","85","Parameter 'modifiedTs' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"15","net.ljcomputing.core.entity","src/main/java/net/ljcomputing/core/entity/AbstractPersistedEntity.java","3","85","publicMethodCommentRequirement Required","Comments","CommentRequired"
"16","net.ljcomputing.core.entity","src/main/java/net/ljcomputing/core/entity/AbstractPersistedEntity.java","3","89","Use explicit scoping instead of the default package private level","Controversial","DefaultPackage"
